,full_name,rating,jersey,team,position,b_day,height_in_m,weight_in_kg,salary,country,draft_year,draft_round,draft_peak,college,current_age,year_played,body_mass_index,bmi_class,attended_college
303,Tony Snell,73,#17,Detroit Pistons,F,11/10/1991,1.98,89.8,11392857,USA,2013,1,20,New Mexico,29,7,22.9,Normal,0
304,Omari Spellman,73,#0,Minnesota Timberwolves,F,7/21/1997,2.03,111.1,1897800,USA,2018,1,30,Villanova,23,2,27,Overweight,0
305,Garrett Temple,73,#17,Brooklyn Nets,G-F,5/8/1986,1.96,88.5,4767000,USA,2009,0,0,LSU,34,11,23,Normal,0
306,Evan Turner,73,#1,Minnesota Timberwolves,G-F,10/27/1988,1.98,93,18606556,USA,2010,1,2,Ohio State,32,10,23.7,Normal,0
307,Lonnie Walker,73,#1,San Antonio Spurs,G,12/14/1998,1.96,92.5,2764200,USA,2018,1,18,Miami (Florida),22,2,24.1,Normal,0
308,Brad Wanamaker,73,#9,Boston Celtics,G,7/25/1989,1.91,95.3,1445697,USA,2011,0,0,Pittsburgh,31,9,26.1,Overweight,0
309,Ante Zizic,73,#41,Cleveland Cavaliers,C,1/4/1997,2.08,113.4,2281800,Croatia,2016,1,23,,24,5,26.2,Overweight,1
310,Tyler Herro,73,#14,Miami Heat,G,1/20/2000,1.96,88.5,3640200,USA,2019,1,13,Kentucky,21,2,23,Normal,0
311,Vincent Poirier,73,#77,Boston Celtics,C,10/17/1993,2.13,106.6,2505793,France,2015,0,0,,27,5,23.5,Normal,1
312,Sekou Doumbouya,73,#45,Detroit Pistons,F,12/23/2000,2.03,94.8,3285120,France,2019,1,15,,20,1,23,Normal,1
313,Brandon Clarke,73,#15,Memphis Grizzlies,F,9/19/1996,2.03,97.5,2478840,Canada,2019,1,21,Gonzaga,24,1,23.7,Normal,0
314,Nicolo Melli,73,#20,New Orleans Pelicans,F,1/26/1991,2.06,107,4102564,Italy,2013,0,0,,30,8,25.2,Overweight,1
